model,top_k,incremental_conversions,scenario_expected_value
random_targeting,0.1,209.58661972535086,42870.985917605256
random_targeting,0.2,367.80960503316663,70332.88150994999
random_targeting,0.3,449.6631471134127,74883.94413402383
response_catboost,0.1,-9.176752257632582,-22758.025677289774
response_catboost,0.2,79.00236010298983,-16309.291969103051
response_catboost,0.3,250.584938695226,15160.481608567803
t_learner_catboost,0.1,408.1975968798127,102454.2790639438
t_learner_catboost,0.2,552.7775693998234,125823.270819947
t_learner_catboost,0.3,765.0855522033238,169510.66566099715
x_learner_catboost,0.1,451.2333400301054,115365.00200903162
x_learner_catboost,0.2,640.6605410447464,152188.16231342393
x_learner_catboost,0.3,908.6881054348739,212591.43163046218
transformer_two_head,0.1,372.51227463885994,91748.68239165797
transformer_two_head,0.2,525.0579136738961,117507.37410216883
transformer_two_head,0.3,567.2789100515582,110168.67301546747
